NumFiles,MinPT,MinP,MinIPChi2,#Lambdas,#XiLambdas,#XiKaons,#XiPions,#Xis,#Pion,#Kaon,#Proton
10,50,1200,3,0.9961662205183203,0.9961058622212883,0.9979716024340771,0.9301130524152107,0.87468671679198,542945,84350,63600
10,50,1800,3,0.9903142179174302,0.9901617268013604,0.9959432048681541,0.8643371017471737,0.7669172932330827,490176,79702,60594
10,50,800,3,0.9961662205183203,0.9961058622212883,1.0,0.9701952723535457,0.949874686716792,576955,86698,65211
10,50,1600,3,0.9914542184240971,0.9913196752597879,0.9959432048681541,0.8869475847893115,0.8020050125313283,507384,81303,61589
10,50,1000,3,0.9961662205183203,0.9961058622212883,0.9979716024340771,0.9527235354573484,0.9097744360902256,560371,85588,64442
10,50,1400,3,0.995591998040888,0.9955225992940803,0.9979716024340771,0.9095580678314491,0.8471177944862155,524830,82904,62617
10,50,2000,3,0.9892037729794546,0.9890337992288921,0.9939148073022313,0.8376156217882836,0.7268170426065163,473578,78033,59538
10,50,2200,3,0.9822539921128853,0.9819746023304785,0.9878296146044625,0.8057553956834532,0.6716791979949874,457826,76402,58460
10,100,800,3,0.9946419976186656,0.9945576422453907,0.9959432048681541,0.920863309352518,0.8696741854636592,551558,84957,63997
10,100,1600,3,0.9899299955244425,0.9897714552838903,0.9939148073022313,0.8540596094552929,0.7518796992481203,492182,80194,60918
10,100,1400,3,0.9940677751412333,0.9939743793181828,0.9959432048681541,0.8715313463514902,0.7844611528822055,507687,81662,61855
10,100,1200,3,0.9946419976186656,0.9945576422453907,0.9959432048681541,0.8890030832476875,0.8095238095238095,523491,82959,62685
10,100,1000,3,0.9946419976186656,0.9945576422453907,0.9959432048681541,0.9075025693730729,0.8395989974937343,538263,84048,63394
10,100,1800,3,0.9887899950177755,0.9886135068254629,0.9939148073022313,0.8345323741007195,0.7192982456140351,476680,78699,60004
10,100,2000,3,0.9876795500798,0.9874855792529946,0.9918864097363083,0.8119218910585817,0.6892230576441103,461521,77134,59014
10,100,2200,3,0.9807297692132307,0.980426382354581,0.9858012170385395,0.7852004110996916,0.6416040100250626,447011,75588,57997
10,150,800,3,0.9863579939368862,0.9861432167808175,0.9837728194726166,0.841726618705036,0.7192982456140351,508437,81860,61962
10,150,1000,3,0.9863579939368862,0.9861432167808175,0.9837728194726166,0.8365878725590956,0.7092731829573935,499618,81243,61566
